,Mean ($),Management Fee ($),Trading Fee ($),Total Fees ($),Net Mean Value ($)
Year 5 Month 2,1276794.8533864797,2127.9914223107994,63.83974266932398,2191.8311649801235,1274603.0222214996
Year 5 Month 3,1283305.4369351114,2138.8423948918526,64.16527184675557,2203.0076667386083,1281102.4292683727
Year 5 Month 4,1289555.4268841357,2149.259044806893,64.47777134420679,2213.7368161511,1287341.6900679846
Year 5 Month 5,1296281.8024842741,2160.4696708071237,64.8140901242137,2225.2837609313374,1294056.5187233428
Year 5 Month 6,1302643.2490177797,2171.0720816963,65.13216245088898,2236.204244147189,1300407.0447736324
Year 5 Month 7,1309387.4312986666,2182.312385497778,65.46937156493334,2247.781757062711,1307139.6495416039
Year 5 Month 8,1315414.7869720114,2192.357978286686,65.77073934860057,2258.1287176352866,1313156.6582543761
Year 5 Month 9,1321451.3004054911,2202.418834009152,66.07256502027457,2268.4913990294262,1319182.8090064616
Year 5 Month 10,1327216.5694120703,2212.027615686784,66.36082847060352,2278.3884441573873,1324938.180967913
Year 5 Month 11,1332780.2874656927,2221.300479109488,66.63901437328464,2287.939493482773,1330492.34797221
Year 5 Month 12,1339237.1002040263,2232.0618336733774,66.96185501020133,2299.0236886835787,1336938.0765153428
Year 6 Month 1,1345359.2308405288,2242.265384734215,67.26796154202644,2309.5333462762414,1343049.6974942526
Year 6 Month 2,1350902.6965179115,2251.5044941965193,67.54513482589559,2319.049629022415,1348583.6468888891
Year 6 Month 3,1358030.2397637279,2263.3837329395465,67.9015119881864,2331.285244927733,1355698.9545188001
Year 6 Month 4,1364845.3882245843,2274.7423137076407,68.24226941122923,2342.98458311887,1362502.4036414654
Year 6 Month 5,1372909.7037571433,2288.182839595239,68.64548518785716,2356.828324783096,1370552.8754323602
Year 6 Month 6,1380285.9034026852,2300.476505671142,69.01429517013428,2369.4908008412763,1377916.412601844
Year 6 Month 7,1387871.467175501,2313.1191119591685,69.39357335877504,2382.5126853179436,1385488.954490183
Year 6 Month 8,1396245.1722507575,2327.075287084596,69.81225861253787,2396.8875456971336,1393848.2847050603
Year 6 Month 9,1402489.5842409264,2337.4826404015444,70.12447921204632,2407.607119613591,1400081.9771213129
Year 6 Month 10,1411309.1931148258,2352.1819885247096,70.5654596557413,2422.747448180451,1408886.4456666454
Year 6 Month 11,1417832.3125426813,2363.0538542378026,70.89161562713407,2433.9454698649365,1415398.3670728165
Year 6 Month 12,1425527.136404317,2375.878560673862,71.27635682021587,2447.154917494078,1423079.981486823
Year 7 Month 1,1432726.4432821374,2387.877405470229,71.63632216410687,2459.5137276343357,1430266.929554503
Year 7 Month 2,1439016.5246101124,2398.3608743501877,71.95082623050563,2470.3117005806935,1436546.2129095318
Year 7 Month 3,1445704.798673702,2409.5079977895034,72.28523993368509,2481.7932377231887,1443223.0054359788
Year 7 Month 4,1452380.7785604873,2420.6346309341457,72.61903892802437,2493.25366986217,1449887.5248906252
Year 7 Month 5,1462106.4128172793,2436.8440213621325,73.10532064086397,2509.9493420029967,1459596.4634752763
Year 7 Month 6,1468610.109500613,2447.683515834355,73.43050547503066,2521.114021309386,1466088.9954793036
Year 7 Month 7,1474782.639322819,2457.971065538032,73.73913196614095,2531.710197504173,1472250.9291253148
Year 7 Month 8,1480218.8437906492,2467.031406317749,74.01094218953247,2541.0423485072815,1477677.8014421419
Year 7 Month 9,1488016.1877984346,2480.0269796640578,74.40080938992173,2554.4277890539797,1485461.7600093808
Year 7 Month 10,1494878.4331051353,2491.464055175226,74.74392165525677,2566.2079768304825,1492312.225128305
Year 7 Month 11,1500858.9672123012,2501.431612020502,75.04294836061506,2576.474560381117,1498282.49265192
Year 7 Month 12,1509234.4372691277,2515.3907287818797,75.46172186345639,2590.852450645336,1506643.5848184824
Year 8 Month 1,1517136.3664840376,2528.5606108067295,75.85681832420188,2604.4174291309314,1514531.9490549066
Year 8 Month 2,1525656.9358997224,2542.7615598328707,76.28284679498613,2619.044406627857,1523037.8914930946
Year 8 Month 3,1532955.047045111,2554.9250784085184,76.64775235225555,2631.5728307607737,1530323.47421435
Year 8 Month 4,1540006.9043189026,2566.678173864838,77.00034521594515,2643.678519080783,1537363.2257998218
Year 8 Month 5,1547861.4963011276,2579.7691605018795,77.3930748150564,2657.162235316936,1545204.3340658108
Year 8 Month 6,1555497.9314925082,2592.496552487514,77.77489657462542,2670.2714490621393,1552827.660043446
Year 8 Month 7,1563062.2503051981,2605.103750508664,78.15311251525992,2683.256863023924,1560378.9934421743
Year 8 Month 8,1571263.4274756603,2618.7723791261005,78.56317137378302,2697.3355504998835,1568566.0919251605
Year 8 Month 9,1580107.853039692,2633.5130883994866,79.00539265198461,2712.518481051471,1577395.3345586404
Year 8 Month 10,1587431.232636393,2645.7187210606553,79.37156163181966,2725.090282692475,1584706.1423537005
Year 8 Month 11,1597068.6045524967,2661.7810075874945,79.85343022762484,2741.6344378151193,1594326.9701146816
Year 8 Month 12,1604493.4042986936,2674.155673831156,80.22467021493469,2754.3803440460906,1601739.0239546476
Year 9 Month 1,1613709.5682023505,2689.5159470039175,80.68547841011754,2770.201425414035,1610939.3667769365
Year 9 Month 2,1620914.919545918,2701.5248659098634,81.04574597729591,2782.5706118871594,1618132.3489340309
Year 9 Month 3,1627538.8244610105,2712.5647074350177,81.37694122305052,2793.941648658068,1624744.8828123524
Year 9 Month 4,1634975.7724148391,2724.959620691399,81.74878862074196,2806.7084093121407,1632169.064005527
Year 9 Month 5,1641353.802956462,2735.5896715941035,82.0676901478231,2817.6573617419267,1638536.14559472
Year 9 Month 6,1649821.8147908833,2749.7030246514723,82.49109073954418,2832.1941153910166,1646989.6206754923
Year 9 Month 7,1657365.069541132,2762.275115901887,82.86825347705661,2845.1433693789436,1654519.926171753
Year 9 Month 8,1664759.594576479,2774.5993242941317,83.23797972882394,2857.837304022956,1661901.757272456
Year 9 Month 9,1674199.549240783,2790.332582067972,83.70997746203916,2874.042559530011,1671325.506681253
Year 9 Month 10,1682402.0266625043,2804.003377770841,84.12010133312522,2888.123479103966,1679513.9031834004
Year 9 Month 11,1692169.8749823566,2820.2831249705946,84.60849374911783,2904.8916187197124,1689264.9833636368
Year 9 Month 12,1699423.765751175,2832.372942918625,84.97118828755875,2917.3441312061836,1696506.4216199687
Year 10 Month 1,1706912.166063109,2844.853610105182,85.34560830315546,2930.1992184083374,1703981.9668447005
Year 10 Month 2,1716361.7498937468,2860.602916489578,85.81808749468735,2946.4210039842656,1713415.3288897625
Year 10 Month 3,1725904.8796624115,2876.508132770686,86.29524398312059,2962.803376753807,1722942.0762856577
Year 10 Month 4,1734054.2936268952,2890.090489378159,86.70271468134476,2976.7932040595038,1731077.5004228356
Year 10 Month 5,1744260.7704787145,2907.101284131191,87.21303852393572,2994.3143226551265,1741266.4561560594
Year 10 Month 6,1752913.4376377703,2921.5223960629505,87.64567188188853,3009.168067944839,1749904.2695698254
Year 10 Month 7,1760470.8457390512,2934.118076231752,88.02354228695256,3022.141618518705,1757448.7041205326
Year 10 Month 8,1768985.139473107,2948.3085657885117,88.44925697365535,3036.757822762167,1765948.3816503447
Year 10 Month 9,1778085.7394653985,2963.476232442331,88.90428697326993,3052.3805194156007,1775033.358945983
Year 10 Month 10,1787590.9156391402,2979.3181927319006,89.37954578195702,3068.6977385138575,1784522.2179006264
Year 10 Month 11,1797711.9294177718,2996.18654902962,89.88559647088859,3086.0721455005087,1794625.8572722713
Year 10 Month 12,1805344.7054448847,3008.9078424081413,90.26723527224425,3099.1750776803856,1802245.5303672042
Year 11 Month 1,1815403.7906190616,3025.672984365103,90.77018953095309,3116.443173896056,1812287.3474451655
Year 11 Month 2,1824793.7457718886,3041.3229096198147,91.23968728859444,3132.562596908409,1821661.1831749803
Year 11 Month 3,1834296.5796701054,3057.1609661168422,91.71482898350527,3148.8757951003477,1831147.703875005
Year 11 Month 4,1845740.0509128016,3076.233418188003,92.28700254564009,3168.520420733643,1842571.530492068
Year 11 Month 5,1854149.8233227786,3090.2497055379645,92.70749116613894,3182.9571967041034,1850966.8661260745
Year 11 Month 6,1862645.1691347207,3104.4086152245345,93.13225845673605,3197.5408736812706,1859447.6282610395
Year 11 Month 7,1872440.3562009411,3120.7339270015686,93.62201781004707,3214.3559448116157,1869226.0002561295
Year 11 Month 8,1882310.2319415193,3137.183719902532,94.11551159707597,3231.299231499608,1879078.9327100196
Year 11 Month 9,1890632.798449783,3151.0546640829716,94.53163992248915,3245.586304005461,1887387.2121457774
Year 11 Month 10,1901703.9315460178,3169.5065525766963,95.0851965773009,3264.591749153997,1898439.3397968637
Year 11 Month 11,1911566.544309652,3185.9442405160867,95.5783272154826,3281.5225677315693,1908285.0217419204
Year 11 Month 12,1921614.23898853,3202.6903983142165,96.08071194942652,3298.771110263643,1918315.4678782662
Year 12 Month 1,1929266.0014483049,3215.443335747175,96.46330007241525,3311.90663581959,1925954.0948124852
Year 12 Month 2,1937836.4020232765,3229.7273367054613,96.89182010116383,3326.619156806625,1934509.7828664698
Year 12 Month 3,1945148.6750162377,3241.914458360396,97.2574337508119,3339.171892111208,1941809.5031241265
Year 12 Month 4,1955629.5936657554,3259.3826561095925,97.78147968328778,3357.16413579288,1952272.4295299624
Year 12 Month 5,1966657.7332632341,3277.762888772057,98.33288666316172,3376.095775435219,1963281.637487799
Year 12 Month 6,1974884.4987709306,3291.474164618218,98.74422493854654,3390.2183895567646,1971494.2803813738
Year 12 Month 7,1983648.6635936508,3306.081105989418,99.18243317968255,3405.2635391691006,1980243.4000544816
Year 12 Month 8,1994812.3867288518,3324.687311214753,99.7406193364426,3424.427930551196,1991387.9587983007
Year 12 Month 9,2005365.6928383484,3342.276154730581,100.26828464191743,3442.5444393724983,2001923.1483989758
Year 12 Month 10,2013239.448571924,3355.3990809532065,100.6619724285962,3456.0610533818026,2009783.3875185421
Year 12 Month 11,2025717.1623178115,3376.1952705296862,101.28585811589059,3477.481128645577,2022239.681189166
Year 12 Month 12,2035528.7291651466,3392.5478819419113,101.77643645825734,3494.3243184001685,2032034.4048467465
Year 13 Month 1,2043521.4215069197,3405.869035844866,102.17607107534599,3508.045106920212,2040013.3763999995
Year 13 Month 2,2052103.2445113047,3420.172074185508,102.60516222556524,3522.7772364110733,2048580.4672748935
Year 13 Month 3,2062618.5187764177,3437.69753129403,103.1309259388209,3540.8284572328507,2059077.690319185
Year 13 Month 4,2073540.6573492642,3455.9010955821072,103.67703286746323,3559.5781284495706,2069981.0792208146
Year 13 Month 5,2083987.872553664,3473.3131209227736,104.19939362768321,3577.5125145504567,2080410.3600391136
Year 13 Month 6,2094539.0975161612,3490.8984958602687,104.72695487580806,3595.625450736077,2090943.472065425
Year 13 Month 7,2104409.521581346,3507.349202635577,105.22047607906732,3612.5696787146444,2100796.9519026317
Year 13 Month 8,2113139.537958998,3521.8992299316633,105.65697689794989,3627.556206829613,2109511.9817521684
Year 13 Month 9,2122318.4407610386,3537.1974012683977,106.11592203805195,3643.3133233064495,2118675.127437732
Year 13 Month 10,2132581.2302403348,3554.302050400558,106.62906151201675,3660.931111912575,2128920.299128422
Year 13 Month 11,2141033.427769755,3568.3890462829254,107.05167138848776,3675.440717671413,2137357.9870520835
Year 13 Month 12,2150018.368465223,3583.3639474420384,107.50091842326114,3690.8648658652996,2146327.503599358
Year 14 Month 1,2162768.3028079984,3604.6138380133307,108.13841514039993,3712.7522531537306,2159055.5505548446
Year 14 Month 2,2173885.0620675767,3623.141770112628,108.69425310337884,3731.8360232160067,2170153.2260443605
Year 14 Month 3,2183417.494375414,3639.0291572923575,109.17087471877072,3748.2000320111283,2179669.294343403
Year 14 Month 4,2191821.203301868,3653.035338836447,109.5910601650934,3762.6263990015404,2188058.5769028664
Year 14 Month 5,2203913.0965285813,3673.1884942143024,110.19565482642908,3783.3841490407317,2200129.712379541
Year 14 Month 6,2215238.851269868,3692.0647521164474,110.76194256349342,3802.826694679941,2211436.0245751883
Year 14 Month 7,2223577.023156679,3705.9617052611316,111.17885115783395,3817.1405564189654,2219759.88260026
Year 14 Month 8,2236508.846794548,3727.51474465758,111.82544233972742,3839.3401869973077,2232669.5066075507
Year 14 Month 9,2244766.394272173,3741.277323786955,112.23831971360866,3853.515643500564,2240912.878628672
Year 14 Month 10,2254040.5255231587,3756.734209205265,112.70202627615794,3869.436235481423,2250171.0892876773
Year 14 Month 11,2263743.8992036614,3772.906498672769,113.18719496018308,3886.093693632952,2259857.8055100283
Year 14 Month 12,2274953.8096306454,3791.5896827177426,113.74769048153227,3905.3373731992747,2271048.472257446
Year 15 Month 1,2286022.7465527607,3810.037910921268,114.30113732763805,3924.3390482489062,2282098.407504512
Year 15 Month 2,2297040.3629359193,3828.400604893199,114.85201814679598,3943.2526230399953,2293097.1103128796
Year 15 Month 3,2309878.9669636604,3849.7982782727677,115.49394834818303,3965.2922266209507,2305913.6747370395
Year 15 Month 4,2323532.3408216657,3872.553901369443,116.17661704108329,3988.730518410526,2319543.6103032553
Year 15 Month 5,2334088.9565578965,3890.1482609298278,116.70444782789482,4006.8527087577227,2330082.1038491386
Year 15 Month 6,2347877.819793659,3913.129699656098,117.39389098968294,4030.523590645781,2343847.296203013
Year 15 Month 7,2357495.8827410527,3929.1598045684214,117.87479413705265,4047.034598705474,2353448.8481423473
Year 15 Month 8,2370969.4614485106,3951.6157690808514,118.54847307242554,4070.164242153277,2366899.2972063576
Year 15 Month 9,2382886.923649158,3971.4782060819302,119.1443461824579,4090.622552264388,2378796.3010968934
Year 15 Month 10,2392422.586552763,3987.3709775879383,119.62112932763814,4106.992106915576,2388315.5944458474
Year 15 Month 11,2406765.9923781515,4011.276653963586,120.33829961890758,4131.614953582493,2402634.377424569
Year 15 Month 12,2419619.7447638395,4032.6995746063994,120.98098723819199,4153.6805618445915,2415466.064201995
Year 16 Month 1,2432612.3116227514,4054.3538527045857,121.63061558113758,4175.984468285723,2428436.3271544655
Year 16 Month 2,2446330.4558826913,4077.2174264711525,122.31652279413457,4199.533949265287,2442130.921933426
Year 16 Month 3,2457468.8345616385,4095.7813909360643,122.87344172808193,4218.654832664146,2453250.1797289746
Year 16 Month 4,2470053.13469881,4116.755224498017,123.50265673494052,4240.2578812329575,2465812.876817577
Year 16 Month 5,2481961.7939692265,4136.602989948711,124.09808969846134,4260.701079647172,2477701.0928895795
Year 16 Month 6,2498616.040851745,4164.360068086242,124.93080204258726,4289.290870128829,2494326.749981616
Year 16 Month 7,2511017.649909847,4185.029416516411,125.55088249549235,4310.580299011904,2506707.069610835
Year 16 Month 8,2524245.004748519,4207.075007914199,126.21225023742596,4333.287258151625,2519911.7174903676
Year 16 Month 9,2536863.5887056417,4228.10598117607,126.8431794352821,4354.9491606113515,2532508.6395450304
Year 16 Month 10,2547874.410785479,4246.457351309132,127.39372053927396,4373.851071848406,2543500.5597136305
Year 16 Month 11,2561453.624401423,4269.089374002372,128.07268122007116,4397.162055222443,2557056.462346201
Year 16 Month 12,2572938.559904186,4288.230933173643,128.6469279952093,4416.877861168852,2568521.6820430174
Year 17 Month 1,2586179.729150808,4310.29954858468,129.3089864575404,4439.608535042221,2581740.120615766
Year 17 Month 2,2600117.868999479,4333.5297816657985,130.00589344997397,4463.535675115772,2595654.333324363
Year 17 Month 3,2611259.007385913,4352.098345643189,130.56295036929566,4482.661296012484,2606776.3460899005
Year 17 Month 4,2624540.251069825,4374.233751783042,131.22701255349125,4505.460764336533,2620034.7903054887
Year 17 Month 5,2639899.6406354574,4399.832734392429,131.99498203177288,4531.827716424202,2635367.812919033
Year 17 Month 6,2652318.745554026,4420.531242590044,132.6159372777013,4553.147179867745,2647765.5983741586
Year 17 Month 7,2667387.3825568883,4445.645637594814,133.36936912784444,4579.015006722658,2662808.3675501654
Year 17 Month 8,2685249.249344417,4475.415415574029,134.26246246722084,4609.67787804125,2680639.5714663756
Year 17 Month 9,2697702.9209573427,4496.171534928905,134.88514604786715,4631.056680976772,2693071.864276366
Year 17 Month 10,2712988.9468901367,4521.6482448168945,135.64944734450683,4657.297692161401,2708331.649197975
Year 17 Month 11,2727542.521511077,4545.904202518462,136.37712607555386,4682.281328594016,2722860.240182483
Year 17 Month 12,2740946.6480369573,4568.244413394929,137.04733240184788,4705.291745796777,2736241.3562911605
Year 18 Month 1,2756087.8585388325,4593.479764231388,137.80439292694163,4731.284157158329,2751356.574381674
Year 18 Month 2,2768840.9569094363,4614.7349281823945,138.44204784547182,4753.176976027867,2764087.7799334084
Year 18 Month 3,2782443.522318921,4637.405870531536,139.12217611594608,4776.5280466474815,2777666.9942722735
Year 18 Month 4,2796438.8398731793,4660.731399788632,139.82194199365898,4800.553341782291,2791638.286531397
Year 18 Month 5,2810382.1495893076,4683.970249315513,140.5191074794654,4824.489356794978,2805557.6602325127
Year 18 Month 6,2827257.806856423,4712.0963447607055,141.36289034282117,4853.459235103526,2822404.34762132
Year 18 Month 7,2841658.114427006,4736.096857378343,142.0829057213503,4878.179763099693,2836779.934663906
Year 18 Month 8,2857779.372597483,4762.965620995806,142.88896862987414,4905.85458962568,2852873.5180078573
Year 18 Month 9,2873495.80962523,4789.159682708717,143.6747904812615,4932.834473189979,2868562.97515204
Year 18 Month 10,2886642.038113662,4811.07006352277,144.33210190568312,4955.402165428453,2881686.635948234
Year 18 Month 11,2901079.3746045223,4835.132291007538,145.05396873022613,4980.186259737764,2896099.1883447845
Year 18 Month 12,2912015.214564734,4853.358690941224,145.60076072823674,4998.959451669461,2907016.255113065
Year 19 Month 1,2927224.4725552564,4878.707454258761,146.36122362776285,5025.068677886524,2922199.40387737
Year 19 Month 2,2943156.667256998,4905.261112094997,147.15783336284989,5052.418945457846,2938104.24831154
Year 19 Month 3,2959286.8848418933,4932.144808069823,147.96434424209468,5080.109152311918,2954206.7756895814
Year 19 Month 4,2974612.682921463,4957.687804869106,148.73063414607316,5106.4184390151795,2969506.264482448
Year 19 Month 5,2986691.6325260424,4977.819387543404,149.33458162630214,5127.153969169706,2981564.478556873
Year 19 Month 6,3003564.3434925447,5005.940572487575,150.17821717462724,5156.118789662202,2998408.2247028826
Year 19 Month 7,3019695.467202704,5032.825778671174,150.98477336013522,5183.810552031309,3014511.6566506727
Year 19 Month 8,3035281.8175014416,5058.803029169069,151.7640908750721,5210.567120044141,3030071.2503813975
Year 19 Month 9,3050493.006125955,5084.155010209925,152.52465030629776,5236.6796605162235,3045256.3264654386
Year 19 Month 10,3064644.2022498073,5107.7403370830125,153.23221011249038,5260.972547195503,3059383.229702612
Year 19 Month 11,3076687.2180409837,5127.812030068307,153.8343609020492,5281.646390970356,3071405.5716500133
Year 19 Month 12,3093223.4435767005,5155.372405961168,154.66117217883502,5310.033578140003,3087913.4099985603
Year 20 Month 1,3109172.6633424414,5181.954438904069,155.4586331671221,5337.413072071191,3103835.2502703704
Year 20 Month 2,3126857.967079726,5211.429945132877,156.3428983539863,5367.772843486863,3121490.194236239
Year 20 Month 3,3145887.756202393,5243.146260337322,157.29438781011967,5400.440648147442,3140487.315554246
Year 20 Month 4,3160616.1817784077,5267.6936362973465,158.0308090889204,5425.724445386267,3155190.4573330213
Year 20 Month 5,3179682.623997904,5299.471039996507,158.98413119989522,5458.455171196402,3174224.1688267076
Year 20 Month 6,3200023.761786179,5333.372936310299,160.00118808930898,5493.374124399608,3194530.3876617798
Year 20 Month 7,3215480.8112778184,5359.134685463031,160.77404056389094,5519.908726026922,3209960.9025517916
Year 20 Month 8,3230846.149627422,5384.74358271237,161.5423074813711,5546.285890193741,3225299.8637372283
Year 20 Month 9,3244669.91510497,5407.783191841617,162.2334957552485,5570.016687596865,3239099.898417373
Year 20 Month 10,3261293.5721071986,5435.489286845332,163.06467860535994,5598.553965450692,3255695.018141748
Year 20 Month 11,3279046.095432405,5465.0768257206755,163.95230477162025,5629.029130492296,3273417.0663019125
Year 20 Month 12,3298144.999691799,5496.908332819665,164.90724998458995,5661.8155828042545,3292483.1841089944
Year 21 Month 1,3314810.122297603,5524.683537162672,165.7405061148802,5690.424043277552,3309119.6982543254
Year 21 Month 2,3329663.6353870598,5549.439392311767,166.483181769353,5715.92257408112,3323947.712812979
Year 21 Month 3,3344679.1045264862,5574.465174210811,167.23395522632433,5741.6991294371355,3338937.405397049
Year 21 Month 4,3362553.417062792,5604.255695104654,168.1276708531396,5772.383365957793,3356781.033696834
Year 21 Month 5,3381336.8358633704,5635.561393105618,169.06684179316855,5804.628234898786,3375532.207628472
Year 21 Month 6,3401037.786399342,5668.39631066557,170.05188931996713,5838.448199985537,3395199.3381993566
Year 21 Month 7,3419997.8725906448,5699.996454317742,170.99989362953227,5870.996347947274,3414126.8762426977
Year 21 Month 8,3437127.1047322717,5728.545174553787,171.8563552366136,5900.401529790401,3431226.7032024814
Year 21 Month 9,3455106.89446217,5758.511490770284,172.75534472310852,5931.266835493392,3449175.6276266766
Year 21 Month 10,3472776.6066265586,5787.9610110442645,173.63883033132794,5961.599841375592,3466815.006785183
Year 21 Month 11,3485572.8055825485,5809.288009304248,174.27864027912744,5983.566649583375,3479589.2389329653
Year 21 Month 12,3504888.4760332964,5841.480793388828,175.24442380166485,6016.725217190493,3498871.750816106
Year 22 Month 1,3520065.131020911,5866.775218368185,176.00325655104558,6042.778474919231,3514022.352545992
Year 22 Month 2,3536368.604262948,5893.94767377158,176.81843021314742,6070.766103984728,3530297.8381589632
Year 22 Month 3,3554771.9271425717,5924.619878570953,177.73859635712859,6102.358474928082,3548669.5686676437
Year 22 Month 4,3574644.681606726,5957.74113601121,178.7322340803363,6136.473370091547,3568508.2082366343
Year 22 Month 5,3593382.256675702,5988.970427792837,179.66911283378514,6168.639540626622,3587213.6171350754
Year 22 Month 6,3611257.6664168104,6018.762777361351,180.56288332084054,6199.3256606821915,3605058.340756128
Year 22 Month 7,3626995.0486442097,6044.99174774035,181.3497524322105,6226.34150017256,3620768.7071440374
Year 22 Month 8,3646476.3693627357,6077.46061560456,182.3238184681368,6259.784434072697,3640216.584928663
Year 22 Month 9,3663658.401170825,6106.097335284709,183.18292005854127,6289.28025534325,3657369.120915482
Year 22 Month 10,3682919.123885591,6138.198539809318,184.14595619427956,6322.344496003598,3676596.779389587
Year 22 Month 11,3695313.329579024,6158.855549298374,184.76566647895123,6343.621215777325,3688969.7083632466
Year 22 Month 12,3713001.9317189655,6188.336552864943,185.6500965859483,6373.9866494508915,3706627.9450695147
Year 23 Month 1,3731012.9685033625,6218.354947505604,186.55064842516813,6404.9055959307725,3724608.0629074317
Year 23 Month 2,3750394.051960337,6250.656753267229,187.51970259801686,6438.176455865246,3743955.875504472
